Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Arron Afflalo,DET,36,57.0,53.0,-4.020,1.302,49.0,56.0,51.0,52.0,54.0,55.0,0.000
Alexis Ajinça,SA,33,58.0,55.6,-2.431,0.667,54.0,58.0,55.0,55.0,56.0,56.0,0.000
LaMarcus Aldridge (PO),TOR,36,68.0,65.5,-2.476,0.678,64.0,67.0,65.0,65.0,66.0,66.0,0.000
Lavoy Allen,CHI,32,54.0,50.0,-4.022,1.081,46.0,53.0,49.0,49.0,51.0,51.0,0.000
Ray Allen,FA,46,43.0,37.1,-5.864,1.249,34.0,41.0,36.0,36.0,38.0,39.0,0.000
Al-Farouq Aminu,MIN,31,53.0,47.2,-5.811,0.954,44.0,50.0,46.0,47.0,48.0,48.0,0.000
James Anderson (PO),MEM,32,57.0,54.2,-2.781,0.791,52.0,56.0,53.0,54.0,55.0,55.0,0.000
Ryan Anderson (PO),MIA,33,60.0,58.9,-1.107,0.578,58.0,60.0,58.0,59.0,59.0,60.0,0.000
Carmelo Anthony (PO),MEM,37,72.0,68.5,-3.524,0.777,66.0,70.0,68.0,68.0,69.0,69.0,0.000
Trevor Ariza,MIA,36,59.0,55.4,-3.568,0.887,52.0,58.0,54.0,55.0,56.0,57.0,0.000
D.J. Augustin,UTA,34,53.0,48.1,-4.873,1.079,45.0,51.0,47.0,47.0,49.0,49.0,0.000
Gustavo Ayón,POR,36,50.0,43.0,-7.002,1.432,39.0,47.0,41.0,42.0,44.0,45.0,0.000
Andrea Bargnani (PO),SAC,36,64.0,60.3,-3.663,0.875,58.0,63.0,59.0,60.0,61.0,61.0,0.000
Brandon Bass,WAS,36,57.0,52.0,-5.013,1.398,48.0,55.0,50.0,51.0,53.0,54.0,0.000
Nicolas Batum (PO),TOR,33,63.0,59.8,-3.160,0.659,58.0,62.0,59.0,59.0,60.0,61.0,0.000
Jerryd Bayless (TO),CHI,33,62.0,60.6,-1.408,0.564,59.0,62.0,60.0,60.0,61.0,61.0,0.000
Michael Beasley,GSW,32,64.0,62.7,-1.342,0.568,61.0,64.0,62.0,62.0,63.0,63.0,0.000
Rodrigue Beaubois,FA,33,41.0,39.1,-1.870,0.929,37.0,42.0,38.0,39.0,40.0,40.0,0.001
Marco Belinelli,DET,35,53.0,45.7,-7.277,1.631,40.0,50.0,44.0,45.0,47.0,48.0,0.000
Bismack Biyombo,POR,29,56.0,55.9,-0.065,1.160,54.0,66.0,55.0,55.0,56.0,57.0,0.152
DeJuan Blair,MIN,32,56.0,52.6,-3.377,1.049,49.0,55.0,51.0,52.0,53.0,54.0,0.000
Eric Bledsoe,UTA,32,55.0,49.5,-5.452,1.108,46.0,53.0,48.0,49.0,50.0,51.0,0.000
Andrew Bogut,FA,37,43.0,36.5,-6.471,1.209,33.0,40.0,35.0,36.0,37.0,38.0,0.000
Carlos Boozer,FA,40,37.0,32.4,-4.606,0.971,30.0,35.0,31.0,32.0,33.0,34.0,0.000
Chris Bosh  (PO),ATL,37,64.0,60.5,-3.497,0.769,59.0,63.0,60.0,60.0,61.0,61.0,0.000
Avery Bradley,FA,31,48.0,42.4,-5.577,0.920,40.0,45.0,41.0,42.0,43.0,44.0,0.000
Corey Brewer,FA,35,53.0,46.0,-6.991,1.497,42.0,51.0,44.0,45.0,47.0,48.0,0.000
Ronnie Brewer,MIN,36,57.0,51.6,-5.431,1.520,47.0,55.0,50.0,51.0,53.0,54.0,0.000
Aaron Brooks (PO),UTA,36,48.0,41.3,-6.718,1.470,37.0,45.0,39.0,40.0,42.0,43.0,0.000
MarShon Brooks,ORL,32,61.0,60.0,-1.047,0.579,58.0,61.0,59.0,60.0,60.0,61.0,0.000
Derrick Brown,CLE,34,54.0,46.8,-7.161,1.083,44.0,50.0,45.0,46.0,48.0,48.0,0.000
Shannon Brown,UTA,36,54.0,47.0,-6.958,1.421,43.0,52.0,45.0,46.0,48.0,49.0,0.000
Kobe Bryant,DET,43,53.0,46.7,-6.346,1.444,42.0,51.0,45.0,46.0,48.0,49.0,0.000
Chase Budinger,OKC,33,57.0,54.4,-2.618,0.777,52.0,56.0,53.0,54.0,55.0,55.0,0.000
Alec Burks,UTA,30,73.0,73.9,0.876,0.650,72.0,76.0,73.0,73.0,74.0,75.0,0.728
Jimmy Butler,FA,32,44.0,38.4,-5.570,0.898,36.0,41.0,37.0,38.0,39.0,40.0,0.000
Andrew Bynum (PO),LAC,34,65.0,63.6,-1.372,0.578,62.0,65.0,63.0,63.0,64.0,64.0,0.000
Will Bynum,FA,38,33.0,28.4,-4.621,1.114,25.0,32.0,27.0,28.0,29.0,30.0,0.000
Omri Casspi (PO),CLE,33,59.0,56.3,-2.663,0.654,55.0,58.0,56.0,56.0,57.0,57.0,0.000
Mario Chalmers (PO),MEM,35,58.0,53.8,-4.201,1.156,50.0,57.0,52.0,53.0,55.0,55.0,0.000
Tyson Chandler,FA,39,52.0,45.5,-6.478,1.469,41.0,49.0,44.0,44.0,47.0,47.0,0.000
Earl Clark,ORL,33,51.0,46.7,-4.310,1.120,44.0,50.0,45.0,46.0,47.0,48.0,0.000
Darren Collison,MIA,34,58.0,54.9,-3.135,0.702,52.0,57.0,54.0,54.0,55.0,56.0,0.000
Mike Conley,GSW,34,67.0,64.2,-2.805,0.675,62.0,66.0,63.0,64.0,65.0,65.0,0.000
Daequan Cook (PO),SAC,34,59.0,56.3,-2.702,0.649,55.0,58.0,56.0,56.0,57.0,57.0,0.000
DeMarcus Cousins,MIN,31,72.0,71.2,-0.809,0.566,70.0,73.0,71.0,71.0,72.0,72.0,0.003
Jamal Crawford,SA,41,53.0,45.7,-7.308,1.667,41.0,50.0,44.0,45.0,47.0,48.0,0.000
Jordan Crawford (PO),IND,33,65.0,62.4,-2.557,0.680,61.0,64.0,62.0,62.0,63.0,63.0,0.000
Dante Cunningham,FA,34,50.0,44.7,-5.310,0.898,42.0,48.0,44.0,44.0,45.0,46.0,0.000
Stephen Curry (PO),MEM,33,71.0,71.1,0.077,0.561,70.0,73.0,70.0,71.0,71.0,72.0,0.197
Glen Davis,CHI,35,57.0,53.3,-3.720,1.131,50.0,56.0,52.0,53.0,54.0,55.0,0.000
Austin Daye (PO),LAC,33,59.0,56.7,-2.252,0.662,55.0,58.0,56.0,56.0,57.0,58.0,0.000
Carlos Delfino,FA,39,46.0,39.5,-6.540,1.414,36.0,44.0,38.0,38.0,40.0,41.0,0.000
Luol Deng,HOU,36,63.0,60.2,-2.838,0.772,58.0,62.0,59.0,60.0,61.0,61.0,0.000
DeMar DeRozan,FA,32,54.0,46.2,-7.753,0.934,44.0,49.0,45.0,46.0,47.0,47.0,0.000
Goran Dragić,HOU,35,62.0,58.8,-3.220,0.785,57.0,61.0,58.0,58.0,59.0,60.0,0.000
Jared Dudley,FA,36,52.0,45.5,-6.528,1.445,41.0,50.0,44.0,44.0,46.0,47.0,0.000
Mike Dunleavy,FA,41,47.0,40.6,-6.353,1.505,37.0,45.0,39.0,40.0,42.0,43.0,0.000
Kevin Durant (PO),OKC,33,72.0,71.3,-0.650,0.577,70.0,73.0,71.0,71.0,72.0,72.0,0.004
Monta Ellis (PO),GSW,36,66.0,62.5,-3.476,0.760,60.0,65.0,62.0,62.0,63.0,63.0,0.000
Tyreke Evans (PO),CHI,32,66.0,65.2,-0.805,0.556,64.0,66.0,65.0,65.0,66.0,66.0,0.000
Kenneth Faried,DEN,32,57.0,56.1,-0.874,0.578,55.0,57.0,55.0,56.0,56.0,57.0,0.000
Jordan Farmar,POR,35,56.0,50.4,-5.570,1.427,46.0,54.0,49.0,50.0,51.0,52.0,0.000
Derrick Favors,WAS,30,63.0,63.3,0.302,0.563,62.0,65.0,63.0,63.0,64.0,64.0,0.347
Raymond Felton,FA,37,52.0,45.4,-6.567,1.447,41.0,49.0,44.0,44.0,46.0,47.0,0.000
Rudy Fernández,FA,36,50.0,42.3,-7.659,1.597,38.0,47.0,40.0,41.0,43.0,44.0,0.000
Landry Fields (PO),HOU,33,58.0,55.3,-2.728,0.690,53.0,57.0,54.0,55.0,56.0,56.0,0.000
Jimmer Fredette,FA,32,49.0,36.8,-12.155,0.625,35.0,39.0,36.0,36.0,37.0,38.0,0.000
Channing Frye,DET,38,56.0,51.3,-4.736,1.400,47.0,55.0,49.0,50.0,52.0,53.0,0.000
Sundiata Gaines,OKC,35,54.0,47.6,-6.448,1.526,42.0,52.0,46.0,47.0,49.0,49.0,0.000
Danilo Gallinari (PO),LAC,33,65.0,63.8,-1.159,0.590,62.0,65.0,63.0,63.0,64.0,65.0,0.000
Kevin Garnett,FA,45,49.0,41.1,-7.876,1.632,36.0,47.0,39.0,40.0,42.0,43.0,0.000
Marc Gasol (PO),CLE,36,64.0,60.4,-3.580,0.779,58.0,63.0,59.0,60.0,61.0,61.0,0.000
Pau Gasol,FA,41,50.0,43.4,-6.628,1.464,39.0,47.0,41.0,42.0,44.0,45.0,0.000
Rudy Gay,DEN,35,70.0,65.7,-4.255,0.860,64.0,68.0,65.0,65.0,66.0,67.0,0.000
Alonzo Gee,IND,34,61.0,58.5,-2.489,0.671,57.0,60.0,58.0,58.0,59.0,59.0,0.000
Paul George,LAC,31,70.0,68.8,-1.236,0.569,67.0,70.0,68.0,68.0,69.0,69.0,0.000
Taj Gibson,FA,36,50.0,42.1,-7.898,1.642,37.0,47.0,40.0,41.0,43.0,44.0,0.000
Drew Gooden,FA,40,47.0,40.3,-6.748,1.407,37.0,44.0,38.0,39.0,41.0,42.0,0.000
Eric Gordon (PO),OKC,33,59.0,56.8,-2.204,0.670,55.0,59.0,56.0,56.0,57.0,58.0,0.000
Marcin Gortat,IND,37,60.0,56.7,-3.287,0.749,55.0,59.0,56.0,56.0,57.0,58.0,0.000
Andrew Goudelock,FA,33,44.0,39.1,-4.915,1.082,36.0,42.0,38.0,38.0,40.0,40.0,0.000
Danny Granger,CHA,38,58.0,54.3,-3.741,1.072,51.0,57.0,53.0,54.0,55.0,55.0,0.000
Danny Green,HOU,34,59.0,55.6,-3.400,0.597,54.0,57.0,55.0,55.0,56.0,56.0,0.000
Donté Greene (PO),SAC,33,59.0,56.5,-2.517,0.693,55.0,58.0,56.0,56.0,57.0,57.0,0.000
Gerald Green,FA,35,41.0,35.2,-5.757,1.048,33.0,39.0,34.0,35.0,36.0,37.0,0.000
Jeff Green,HOU,35,56.0,52.6,-3.384,1.222,49.0,56.0,51.0,52.0,54.0,54.0,0.000
Blake Griffin (PO),DET,32,66.0,65.3,-0.695,0.576,64.0,67.0,65.0,65.0,66.0,66.0,0.005
Tyler Hansbrough,FA,36,47.0,40.9,-6.148,1.386,37.0,45.0,39.0,40.0,42.0,43.0,0.000
James Harden (PO),DET,32,73.0,72.4,-0.578,0.581,71.0,74.0,72.0,72.0,73.0,73.0,0.010
Justin Harper,FA,32,39.0,33.1,-5.872,0.674,31.0,35.0,32.0,33.0,34.0,34.0,0.000
Josh Harrellson,SA,32,56.0,52.3,-3.701,1.097,49.0,55.0,51.0,52.0,53.0,54.0,0.000
Devin Harris,MIA,38,56.0,50.6,-5.382,1.424,46.0,55.0,49.0,50.0,52.0,52.0,0.000
Manny Harris,WAS,32,66.0,65.2,-0.780,0.578,64.0,67.0,65.0,65.0,66.0,66.0,0.003
Tobias Harris,FA,29,47.0,46.3,-0.737,2.027,43.0,60.0,45.0,45.0,47.0,47.0,0.085
Spencer Hawes,FA,33,49.0,44.5,-4.513,1.089,42.0,48.0,43.0,44.0,45.0,46.0,0.000
Gordon Hayward,UTA,31,73.0,72.0,-0.993,0.604,70.0,73.0,71.0,72.0,72.0,73.0,0.000
Xavier Henry,FA,30,45.0,43.0,-2.046,1.068,40.0,46.0,42.0,42.0,44.0,44.0,0.005
Roy Hibbert,SA,35,61.0,57.4,-3.628,0.786,55.0,60.0,56.0,57.0,58.0,58.0,0.000
J.J. Hickson,FA,33,57.0,51.8,-5.215,1.125,49.0,55.0,50.0,51.0,53.0,53.0,0.000
Nenê Nenê,FA,39,42.0,35.8,-6.249,1.087,33.0,40.0,34.0,35.0,36.0,37.0,0.000
George Hill,GSW,35,54.0,47.7,-6.292,1.428,43.0,52.0,46.0,47.0,49.0,49.0,0.000
Jordan Hill,DAL,34,61.0,59.7,-1.297,0.573,58.0,61.0,59.0,59.0,60.0,60.0,0.000
Jrue Holiday (PO),CLE,31,71.0,70.2,-0.841,0.678,68.0,72.0,69.0,70.0,71.0,71.0,0.011
Al Horford,DAL,35,61.0,58.1,-2.863,0.777,56.0,60.0,57.0,58.0,59.0,59.0,0.000
Dwight Howard (PO),WAS,36,74.0,71.1,-2.949,0.758,69.0,73.0,70.0,71.0,72.0,72.0,0.000
Kris Humphries (PO),NYK,36,57.0,52.9,-4.062,1.179,48.0,55.0,51.0,52.0,54.0,54.0,0.000
Andre Iguodala (PO),LAC,37,65.0,61.6,-3.409,0.862,59.0,64.0,61.0,61.0,62.0,63.0,0.000
Ersan İlyasova (PO),OKC,34,65.0,64.1,-0.867,0.593,62.0,66.0,63.0,64.0,64.0,65.0,0.001
Kyrie Irving,MIN,29,68.0,69.1,1.123,0.708,67.0,71.0,68.0,69.0,70.0,70.0,0.835
Jarrett Jack,NOL,38,52.0,45.2,-6.757,1.410,41.0,50.0,43.0,44.0,46.0,47.0,0.000
Reggie Jackson,FA,31,42.0,37.5,-4.491,0.983,35.0,41.0,36.0,37.0,38.0,39.0,0.000
LeBron James (PO),CLE,37,76.0,73.1,-2.859,0.664,71.0,75.0,72.0,73.0,74.0,74.0,0.000
Al Jefferson (PO),WAS,36,63.0,59.4,-3.619,0.874,57.0,62.0,58.0,59.0,60.0,60.0,0.000
Brandon Jennings (PO),IND,32,66.0,65.3,-0.666,0.597,64.0,67.0,65.0,65.0,66.0,66.0,0.014
Jonas Jerebko (TO),CHI,34,64.0,62.8,-1.188,0.585,61.0,64.0,62.0,62.0,63.0,63.0,0.000
Chris Johnson,FA,36,42.0,35.7,-6.262,1.055,33.0,40.0,34.0,35.0,36.0,37.0,0.000
James Johnson,HOU,34,58.0,54.3,-3.663,0.795,51.0,56.0,53.0,54.0,55.0,55.0,0.000
Joe Johnson (PO),TOR,40,58.0,54.5,-3.484,1.033,51.0,57.0,53.0,54.0,55.0,56.0,0.000
Dominique Jones,FA,33,52.0,42.2,-9.793,0.945,40.0,45.0,41.0,42.0,43.0,43.0,0.000
DeAndre Jordan,SAC,33,58.0,55.1,-2.882,0.678,53.0,57.0,54.0,55.0,56.0,56.0,0.000
Cory Joseph,FA,30,49.0,47.6,-1.413,1.037,45.0,51.0,46.0,47.0,48.0,49.0,0.025
Enes Kanter,LAL,29,66.0,67.2,1.223,0.737,65.0,69.0,66.0,67.0,68.0,68.0,0.847
D.J. Kennedy,FA,32,45.0,40.1,-4.941,1.122,37.0,43.0,39.0,39.0,41.0,41.0,0.000
Andrei Kirilenko,UTA,40,55.0,47.6,-7.410,1.674,43.0,53.0,45.0,46.0,49.0,50.0,0.000
Linas Kleiza (PO),LAL,36,61.0,57.4,-3.627,0.771,55.0,59.0,56.0,57.0,58.0,58.0,0.000
Brandon Knight,CHA,30,67.0,67.0,-0.040,0.650,65.0,69.0,66.0,67.0,67.0,68.0,0.188
Kyle Korver,FA,40,47.0,40.2,-6.760,1.430,36.0,44.0,38.0,39.0,41.0,42.0,0.000
Kosta Koufos (TO),LAC,32,61.0,60.2,-0.816,0.595,59.0,62.0,60.0,60.0,61.0,61.0,0.003
Ty Lawson,DEN,34,68.0,66.8,-1.228,0.598,65.0,68.0,66.0,66.0,67.0,67.0,0.000
Courtney Lee,SAC,36,57.0,52.6,-4.375,1.340,48.0,56.0,51.0,52.0,54.0,54.0,0.000
David Lee,DET,38,57.0,52.5,-4.512,1.375,48.0,56.0,51.0,51.0,54.0,54.0,0.000
Kawhi Leonard,SA,30,75.0,75.4,0.412,0.608,74.0,77.0,75.0,75.0,76.0,76.0,0.448
Jon Leuer,FA,32,45.0,40.8,-4.215,1.104,38.0,44.0,39.0,40.0,42.0,42.0,0.000
DeAndre Liggins,FA,33,51.0,45.6,-5.369,0.939,43.0,48.0,44.0,45.0,46.0,47.0,0.000
Jeremy Lin,MIA,33,57.0,54.6,-2.447,0.748,52.0,57.0,54.0,54.0,55.0,55.0,0.000
Brook Lopez (TO),UTA,33,62.0,60.7,-1.290,0.588,59.0,62.0,60.0,60.0,61.0,61.0,0.000
Robin Lopez,DET,33,54.0,49.0,-5.045,0.927,46.0,52.0,48.0,48.0,50.0,50.0,0.000
Kevin Love (PO),SAC,33,77.0,77.0,0.010,0.379,76.0,78.0,77.0,77.0,77.0,77.0,0.077
Kyle Lowry,SA,35,65.0,62.1,-2.931,0.777,60.0,64.0,61.0,62.0,63.0,63.0,0.000
John Lucas III,FA,39,32.0,28.9,-3.051,0.800,27.0,31.0,28.0,28.0,29.0,30.0,0.000
Shelvin Mack,FA,31,51.0,46.5,-4.538,1.085,43.0,49.0,45.0,46.0,47.0,48.0,0.000
Ian Mahinmi,FA,35,50.0,43.3,-6.731,1.467,39.0,47.0,41.0,42.0,44.0,45.0,0.000
Kevin Martin (PO),HOU,38,64.0,61.6,-2.381,0.665,60.0,64.0,61.0,61.0,62.0,62.0,0.000
Wesley Matthews (PO),WAS,35,64.0,59.9,-4.085,0.885,58.0,63.0,59.0,59.0,60.0,61.0,0.000
O.J. Mayo (PO),LAC,34,62.0,59.5,-2.547,0.653,58.0,61.0,59.0,59.0,60.0,60.0,0.000
Luc Mbah a Moute,MEM,35,53.0,46.2,-6.772,1.430,42.0,51.0,44.0,45.0,47.0,48.0,0.000
JaVale McGee (PO),MIA,33,60.0,58.4,-1.552,0.577,57.0,60.0,58.0,58.0,59.0,59.0,0.000
Dominic McGuire,FA,36,47.0,39.9,-7.077,1.369,36.0,45.0,38.0,39.0,41.0,42.0,0.000
Jodie Meeks,POR,34,52.0,46.7,-5.294,0.931,44.0,49.0,46.0,46.0,47.0,48.0,0.000
