Name,Team,Age,Baseline,MeanOvr,MeanDelta,StdDelta,MinOvr,MaxOvr,Q10,Q25,Q75,Q90,PctPositive
Nick Young,FA,36,51.0,43.1,-7.924,1.618,38.0,47.0,41.0,42.0,44.0,45.0,0.000
Thaddeus Young,CLE,33,67.0,65.9,-1.062,0.569,64.0,67.0,65.0,66.0,66.0,67.0,0.000
Álex Abrines,MEM,28,57.0,56.8,-0.174,1.268,55.0,67.0,56.0,56.0,57.0,58.0,0.130
Quincy Acy,FA,31,50.0,45.8,-4.217,1.129,42.0,49.0,44.0,45.0,47.0,47.0,0.000
Jordan Adams,SA,27,58.0,57.1,-0.863,1.106,55.0,67.0,56.0,57.0,58.0,58.0,0.032
Steven Adams,MIL,28,66.0,66.3,0.350,0.722,65.0,68.0,65.0,66.0,67.0,67.0,0.403
Cliff Alexander,BOS,26,40.0,39.5,-0.476,2.336,37.0,57.0,38.0,39.0,40.0,41.0,0.124
Justin Anderson,LAL,28,44.0,40.0,-4.004,2.564,37.0,59.0,38.0,39.0,41.0,41.0,0.019
Kyle Anderson,GSW,28,61.0,61.0,0.029,0.748,59.0,64.0,60.0,61.0,62.0,62.0,0.257
Giannis Antetokounmpo,TOR,27,67.0,67.0,-0.027,0.759,65.0,69.0,66.0,66.0,67.0,68.0,0.243
Thanasis Antetokounmpo,DEN,29,43.0,40.6,-2.428,2.038,37.0,56.0,39.0,40.0,41.0,42.0,0.015
Keith Appling,UTA,29,38.0,40.1,2.063,1.968,37.0,54.0,38.0,39.0,41.0,41.0,0.876
Ron Baker,NYK,28,38.0,35.0,-2.992,2.854,32.0,56.0,34.0,34.0,35.0,36.0,0.022
Wade Baldwin,HOU,25,36.0,36.0,0.000,0.000,36.0,36.0,36.0,36.0,36.0,36.0,0.000
Harrison Barnes,TOR,29,76.0,76.9,0.867,0.632,75.0,79.0,76.0,76.0,77.0,78.0,0.744
Will Barton,FA,30,38.0,36.6,-1.386,0.712,35.0,39.0,36.0,36.0,37.0,37.0,0.004
Bradley Beal,TOR,28,58.0,58.3,0.341,1.394,56.0,69.0,57.0,58.0,59.0,59.0,0.350
Malik Beasley,ATL,25,45.0,45.0,0.000,0.000,45.0,45.0,45.0,45.0,45.0,45.0,0.000
DeAndre' Bembry,GSW,27,37.0,33.8,-3.188,2.529,31.0,55.0,33.0,33.0,34.0,35.0,0.019
Jerrelle Benimon,FA,30,49.0,47.6,-1.376,1.081,44.0,51.0,46.0,47.0,48.0,49.0,0.031
Anthony Bennett,GSW,28,55.0,54.8,-0.221,1.177,52.0,65.0,54.0,54.0,55.0,55.0,0.089
Ben Bentil,DEN,26,35.0,32.3,-2.663,2.602,30.0,53.0,31.0,31.0,32.0,33.0,0.023
Dāvis Bertāns,ORL,29,56.0,55.0,-0.973,1.688,52.0,67.0,54.0,54.0,55.0,56.0,0.034
Sim Bhullar,MIA,29,57.0,56.1,-0.882,1.183,54.0,65.0,55.0,56.0,56.0,57.0,0.025
Tarik Black,CHA,30,43.0,41.7,-1.308,1.045,39.0,45.0,40.0,41.0,42.0,43.0,0.029
Bojan Bogdanović,ORL,32,49.0,43.2,-5.778,0.936,41.0,46.0,42.0,43.0,44.0,44.0,0.000
Joel Bolomboy,LAC,27,41.0,35.2,-5.779,2.436,33.0,57.0,34.0,34.0,35.0,36.0,0.015
Devin Booker,POR,25,55.0,55.0,0.000,0.000,55.0,55.0,55.0,55.0,55.0,55.0,0.000
Malcolm Brogdon,MIN,29,62.0,61.3,-0.736,0.654,59.0,63.0,61.0,61.0,62.0,62.0,0.016
Anthony Brown,IND,29,56.0,55.1,-0.902,1.174,52.0,66.0,54.0,55.0,55.0,56.0,0.026
Jabari Brown,CHI,29,47.0,44.2,-2.782,2.040,41.0,59.0,43.0,43.0,45.0,45.0,0.016
